路线编号,所在行政区划代码,路线名称,路段起止名称_起点名称,路段起止名称_止点名称,路段起止桩号_起点桩号,路段起止桩号_止点桩号,里程（公里）,路段基本属性_技术等级_代码,路段基本属性_技术等级_等级,路段基本属性_是否一幅高速,路段基本属性_车道数量(个),路段基本属性_面层类型_代码,路段基本属性_面层类型_类型,路段基本属性_路基宽度(米),路段基本属性_路面宽度(米),路段基本属性_面层厚度(厘米),路段基本属性_设计时速,路段基本属性_抗震等级,路段基本属性_防洪标准,修建改建_修建年度,修建改建_改建年度,最近一次修复养护年度,断链类型,是否城管路段,是否断头路段,收费路段性质,被重复主线_路线编号,被重复主线_起点桩号,被重复主线_终点桩号,被重复主线_是否长链,养护管理情况（公里）_养护里程,养护管理情况（公里）_可绿化里程,养护管理情况（公里）_已绿化里程,地貌,涵洞数量（个）,管养单位名称,省际出入口,国道调整前路线编号,是否按干线公路管理接养,备注
G1,230113,北京—哈尔滨（京哈高速）,拉林河（吉黑界）,双城/哈尔滨界,1137.0,1191.996,54.996,10,高速,否,8.0,11,沥青混凝土,42.0,37.5,12,120,0.05或6度,100.0,2001.0,2021.0,,0,否,否,还贷,,,,,54.996,54.996,54.996,平原,39,养护科技哈尔滨分公司,1,G1,是,
G1,230113,北京—哈尔滨（京哈高速）,双城/哈尔滨界,瓦盆窑互通,1191.996,1206.699,14.703,10,高速,否,8.0,11,沥青混凝土,42.0,37.5,12,120,0.05或6度,100.0,2001.0,2021.0,,0,否,否,还贷,,,,,14.703,14.703,14.703,平原,9,养护科技哈尔滨分公司, ,G1,是,
G10,231081,绥芬河—满洲里（绥满高速）,中俄国界,边检检查闸口,0.0,1.181,1.181,11,一级,否,4.0,12,水泥混凝土,22.5,15.0,22,80,0.05或6度,100.0,1995.0,2011.0,,0,否,否,非收费,,,,,1.181,1.181,1.181,山岭,3,绥芬河市公路养护中心, ,G10,是,
G10,231081,绥芬河—满洲里（绥满高速）,边检检查闸口,交警二中队,1.181,13.17,11.989,11,一级,否,4.0,11,沥青混凝土,24.5,20.5,12,80,0.05或6度,100.0,1995.0,2011.0,,0,否,否,非收费,,,,,11.989,11.989,11.89,山岭,17,绥芬河市公路养护中心, ,G10,是,
G10,231081,绥芬河—满洲里（绥满高速）,交警二中队,公路站/高速,13.17,13.553,0.383,11,一级,否,4.0,11,沥青混凝土,24.5,20.5,12,80,0.05或6度,100.0,1995.0,2011.0,,0,否,否,非收费,,,,,0.383,0.383,0.383,山岭,0,绥芬河市公路养护中心, ,G10,是,
G10,231081,绥芬河—满洲里（绥满高速）,公路站/高速,绥芬河/东宁界,13.553,21.714,8.161,10,高速,否,4.0,11,沥青混凝土,24.5,20.5,12,80,0.05或6度,100.0,2011.0,,,0,否,否,还贷,,,,,8.161,8.161,8.161,山岭,14,养护科技牡丹江分公司, ,G10,是,
G10,231086,绥芬河—满洲里（绥满高速）,绥芬河/东宁界,东宁/穆棱界,21.714,59.032,37.318,10,高速,否,4.0,11,沥青混凝土,24.5,20.5,12,80,0.05或6度,100.0,2011.0,,,0,否,否,还贷,,,,,37.318,37.318,37.318,山岭,29,养护科技牡丹江分公司, ,G10,是,
G10,231085,绥芬河—满洲里（绥满高速）,东宁/穆棱界,绥芬河/兴源养护工区,59.032,65.102,6.07,10,高速,否,4.0,11,沥青混凝土,24.5,20.5,12,80,0.05或6度,100.0,2011.0,,,0,否,否,还贷,,,,,6.07,6.07,6.07,山岭,2,养护科技牡丹江分公司, ,G10,是,
G10,231085,绥芬河—满洲里（绥满高速）,绥芬河/兴源养护工区,穆棱/牡丹江界,65.102,111.557,46.455,10,高速,否,4.0,11,沥青混凝土,24.5,20.5,12,80,0.05或6度,100.0,2011.0,,,0,否,否,还贷,,,,,46.455,46.455,46.455,山岭,59,养护科技牡丹江分公司, ,G10,是,
G10,231001,绥芬河—满洲里（绥满高速）,穆棱/牡丹江界,三道互通,111.557,147.178,35.621,10,高速,否,4.0,11,沥青混凝土,24.5,20.5,12,80,0.05或6度,100.0,2011.0,,,0,否,否,还贷,,,,,35.621,35.621,35.621,山岭,47,养护科技牡丹江分公司, ,G10,是,
G10,231001,绥芬河—满洲里（绥满高速）,三道互通,磨刀石/小莫养护工区,147.178,159.965,12.787,10,高速,否,4.0,11,沥青混凝土,24.5,20.5,12,80,0.05或6度,100.0,2011.0,,,0,否,否,还贷,,,,,12.787,12.787,12.787,山岭,17,养护科技牡丹江分公司, ,G10,是,
G10,231001,绥芬河—满洲里（绥满高速）,磨刀石/小莫养护工区,大莫互通,159.965,160.5,0.535,10,高速,否,4.0,11,沥青混凝土,24.5,20.5,12,80,0.05或6度,100.0,2011.0,,,0,否,否,还贷,,,,,0.535,0.535,0.535,山岭,0,养护科技牡丹江分公司, ,G10,是,
G10,231001,绥芬河—满洲里（绥满高速）,大莫互通,牡丹江/海林界,160.5,171.427,10.927,10,高速,否,4.0,11,沥青混凝土,24.5,20.5,12,80,0.05或6度,100.0,2011.0,,,0,否,否,还贷,,,,,10.927,10.927,10.927,山岭,10,养护科技牡丹江分公司, ,G10,是,
G10,231083,绥芬河—满洲里（绥满高速）,牡丹江/海林界,小莫/横道工区,171.427,180.863,9.436,10,高速,否,4.0,11,沥青混凝土,24.5,21.5,12,100,0.05或6度,100.0,1997.0,2012.0,,0,否,否,还贷,,,,,9.436,9.436,9.436,山岭,23,养护科技牡丹江分公司, ,G10,是,
G10,231083,绥芬河—满洲里（绥满高速）,小莫/横道工区,牡丹江/哈东分公司,180.863,227.945,47.082,10,高速,否,4.0,11,沥青混凝土,24.5,21.5,12,100,0.05或6度,100.0,2007.0,2012.0,,0,否,否,还贷,,,,,47.082,47.082,47.082,山岭,96,养护科技牡丹江分公司, ,G10,是,
G10,231083,绥芬河—满洲里（绥满高速）,牡丹江/哈东分公司,哈尔滨/牡丹江界,227.945,229.989,2.044,10,高速,否,4.0,11,沥青混凝土,24.5,21.5,12,100,0.05或6度,100.0,2007.0,2012.0,,0,否,否,还贷,,,,,2.044,2.044,2.044,山岭,2,龙高公路养护工程公司, ,G10,是,
G10,230183,绥芬河—满洲里（绥满高速）,哈尔滨/牡丹江界,亚布力/尚志界,229.989,270.662,40.673,10,高速,否,4.0,11,沥青混凝土,24.5,22.6,12,80,0.05或6度,100.0,2007.0,2012.0,,0,否,否,还贷,,,,,40.673,40.673,40.673,山岭,85,龙高公路养护工程公司, ,G10,是,
G10,230183,绥芬河—满洲里（绥满高速）,亚布力/尚志界,尚志工区/亚布力工区,270.662,290.174,19.512,10,高速,否,4.0,11,沥青混凝土,24.5,22.6,12,80,0.05或6度,100.0,2007.0,2012.0,,0,否,否,还贷,,,,,19.512,19.512,19.512,山岭,49,龙高公路养护工程公司, ,G10,是,
