objectid,regionalism_code,regionalism_name,up_code,up_name,regionalism_level,regionalism_bm,regionalism_pid,start_time,end_time
46,230381,虎林市,230300.0,鸡西市,3,2d18b3118b794b539a769ce3d4e0af95,38.0,2023,2023
119,231182,五大连池市,231100.0,黑河市,3,4779227fc1b344fc926a69f03224b6b8,114.0,2023,2023
71,230606,大同区,230600.0,大庆市,3,579c2ce740a94863996a6509eaf97f2b,66.0,2023,2023
13,230124,方正县,230100.0,哈尔滨市,3,bd10298cefd2473292c3c5e5f4c3ca6a,2.0,2023,2023
70,230605,红岗区,230600.0,大庆市,3,8f60519f8cc4488cb661ea263061042f,66.0,2023,2023
35,230230,克东县,230200.0,齐齐哈尔市,3,d1e84c8508cd4541952b0419916c20b6,21.0,2023,2023
41,230304,滴道区,230300.0,鸡西市,3,c945c7b002f049c3bd12fdfe17dd8882,38.0,2023,2023
117,231124,孙吴县,231100.0,黑河市,3,d7d19f86e54d43948409cc880d51a6c1,114.0,2023,2023
78,230718,乌翠区,230700.0,伊春市,3,414eac3034014f1f881ae5bdd510bd3e,76.0,2023,2023
134,232721,呼玛县,232700.0,大兴安岭地区,3,ee2ed6c854624fbda0e22d1a8ede24a8,132.0,2023,2023
32,230225,甘南县,230200.0,齐齐哈尔市,3,45b64c7b5e0e4c57bcce056f08aebe34,21.0,2023,2023
805,230801,市辖区,230800.0,佳木斯市,3,2abca704de25425d91f49c0624a5053b,87.0,2023,2023
109,231081,绥芬河市,231000.0,牡丹江市,3,77a9695302a149a08501daa6f932edb4,103.0,2023,2023
96,230882,富锦市,230800.0,佳木斯市,3,b29aceb8c72a4325922480300a933c1c,87.0,2023,2023
112,231085,穆棱市,231000.0,牡丹江市,3,e44d077f2dd0425cb1df95144afba0ec,103.0,2023,2023
69,230604,让胡路区,230600.0,大庆市,3,99a4cd4fe43b41c7b2b88aa6bf175d9e,66.0,2023,2023
30,230223,依安县,230200.0,齐齐哈尔市,3,693b857272c04d5687d7665b8644294d,21.0,2023,2023
17,230128,通河县,230100.0,哈尔滨市,3,a93ca18089064af1b4c07c0161d3ef50,2.0,2023,2023
3,230102,道里区,230100.0,哈尔滨市,3,5082655a2fe644088962c1c64c131922,2.0,2023,2023
108,231025,林口县,231000.0,牡丹江市,3,cedd1b662ce3414fb5bb4a765418e835,103.0,2023,2023
68,230603,龙凤区,230600.0,大庆市,3,6c6568cf83ad452599b092e879158c70,66.0,2023,2023
31,230224,泰来县,230200.0,齐齐哈尔市,3,c83147bb6fb94d91850ef9143087cebb,21.0,2023,2023
126,231224,庆安县,231200.0,绥化市,3,fe8ceeef73854dfabee18918fdb0f396,121.0,2023,2023
88,230803,向阳区,230800.0,佳木斯市,3,6d673e04ff1d49209ae8e37be49eee21,87.0,2023,2023
43,230306,城子河区,230300.0,鸡西市,3,cb7063d80fad422dbd0a6e381ad751e2,38.0,2023,2023
2,230100,哈尔滨市,230000.0,黑龙江省,2,a1467be0b28842b4ad80feb7bdb64cda,1.0,2023,2023
129,231281,安达市,231200.0,绥化市,3,5222d964eeaf445c85358892153b3c59,121.0,2023,2023
111,231084,宁安市,231000.0,牡丹江市,3,19b7ee0193504ffa84479f60165fb360,103.0,2023,2023
23,230203,建华区,230200.0,齐齐哈尔市,3,a6f06bd7dba743afb87dc835e51fc3db,21.0,2023,2023
21,230200,齐齐哈尔市,230000.0,黑龙江省,2,5e5cf7bfea8640ceb1db41d11a2adad6,1.0,2023,2023
99,230902,新兴区,230900.0,七台河市,3,69aef6273bb3405b99f1b9fc2c8519df,98.0,2023,2023
115,231102,爱辉区,231100.0,黑河市,3,a2bae381a75940249848aed301231ba1,114.0,2023,2023
803,231001,市辖区,231000.0,牡丹江市,3,77e884f4bee04a8aa5becf578c1c246d,103.0,2023,2023
404,231101,市辖区,231100.0,黑河市,3,b7bd7914db7f407e99ea67e3450daad2,114.0,2023,2023
106,231004,爱民区,231000.0,牡丹江市,3,0c872aa1d3e44366b06cc0bf241d36e4,103.0,2023,2023
125,231223,青冈县,231200.0,绥化市,3,9987bfefc4de444fbdd18141c8d93ec0,121.0,2023,2023
34,230229,克山县,230200.0,齐齐哈尔市,3,1b8494a2971043d9a4887aec19835fa8,21.0,2023,2023
28,230208,梅里斯达斡尔族区,230200.0,齐齐哈尔市,3,ed02132a01c64b3a89f64f7afa087c06,21.0,2023,2023
101,230904,茄子河区,230900.0,七台河市,3,d7e8a65f3925416bb7d70cc43eebaf41,98.0,2023,2023
81,230723,汤旺县,230700.0,伊春市,3,cea5eadae26444dbb30b6585288a66cd,76.0,2023,2023
75,230624,杜尔伯特蒙古族自治县,230600.0,大庆市,3,fb91e27d983748549c342af8da18bdac,66.0,2023,2023
110,231083,海林市,231000.0,牡丹江市,3,19d508f89c6144408aa74739fe550532,103.0,2023,2023
93,230826,桦川县,230800.0,佳木斯市,3,7deba908f98a468baa2bac13b7017e6f,87.0,2023,2023
103,231000,牡丹江市,230000.0,黑龙江省,2,a970bdf0dfca43419e48a06048921491,1.0,2023,2023
22,230202,龙沙区,230200.0,齐齐哈尔市,3,a8c16006514446dc8966a92273123cd8,21.0,2023,2023
29,230221,龙江县,230200.0,齐齐哈尔市,3,68672c25ad4f4b748d2815f0c7b61cd3,21.0,2023,2023
53,230406,东山区,230400.0,鹤岗市,3,36dbe2093a454427b3400d4b05710383,48.0,2023,2023
12,230123,依兰县,230100.0,哈尔滨市,3,081f9c8840834e70a7ff2f0790bb89af,2.0,2023,2023
124,231222,兰西县,231200.0,绥化市,3,c76eac4f30ac4ca4a96b6fc267589495,121.0,2023,2023
92,230822,桦南县,230800.0,佳木斯市,3,ebebdbc5aec64ec6bbbcb402e59c2401,87.0,2023,2023
39,230302,鸡冠区,230300.0,鸡西市,3,dce75d0a253e4af6b01a19296eadd23d,38.0,2023,2023
95,230881,同江市,230800.0,佳木斯市,3,0d2185e7b27f4109b5b4957c92771b6f,87.0,2023,2023
59,230503,岭东区,230500.0,双鸭山市,3,36f2d4445cf7470394389bc7ccd003b7,57.0,2023,2023
18,230129,延寿县,230100.0,哈尔滨市,3,567ea06999be4e83af6d64ab28442047,2.0,2023,2023
130,231282,肇东市,231200.0,绥化市,3,d6cd5320735748798e791de041610668,121.0,2023,2023
100,230903,桃山区,230900.0,七台河市,3,43af091e422e4f5bbfecd2c1b97f8e16,98.0,2023,2023
66,230600,大庆市,230000.0,黑龙江省,2,2095b4318b784fc3b6886f880a8a6433,1.0,2023,2023
55,230421,萝北县,230400.0,鹤岗市,3,ebea45c25b7d4a9d9bdf322cae0e02fe,48.0,2023,2023
36,230231,拜泉县,230200.0,齐齐哈尔市,3,c3f01cda29e1416687f62792c0017ecd,21.0,2023,2023
118,231181,北安市,231100.0,黑河市,3,1e67007351aa4894bfd89dc3473e3099,114.0,2023,2023
