id_road,lxbh,xjdm,xjmc,xsmc,lxmc,LICHENGGONGLI
1,S001,230102,道里区,哈尔滨市,哈尔滨经济圈环线,1.005
2,S001,230102,道里区,哈尔滨市,哈尔滨经济圈环线,3.078
3,S001,230102,道里区,哈尔滨市,哈尔滨经济圈环线,0.181
4,S001,230102,道里区,哈尔滨市,哈尔滨经济圈环线,0.756
5,Z003230102,230102,道里区,哈尔滨市,哈尔滨机场高速公路,24.978
6,S103,230102,道里区,哈尔滨市,哈尔滨—松原,1.415
7,S103,230102,道里区,哈尔滨市,哈尔滨—松原,1.854
8,S211,230102,道里区,哈尔滨市,黑河—双城,1.21
9,S103,230102,道里区,哈尔滨市,哈尔滨—松原,1.357
10,S103,230102,道里区,哈尔滨市,哈尔滨—松原,4.214
11,S103,230102,道里区,哈尔滨市,哈尔滨—松原,0.831
12,S103,230102,道里区,哈尔滨市,哈尔滨—松原,1.947
13,S103,230102,道里区,哈尔滨市,哈尔滨—松原,0.85
14,S103,230102,道里区,哈尔滨市,哈尔滨—松原,8.479
15,S103,230102,道里区,哈尔滨市,哈尔滨—松原,0.921
16,S103,230102,道里区,哈尔滨市,哈尔滨—松原,5.115
17,S211,230102,道里区,哈尔滨市,黑河—双城,0.851
18,S001,230102,道里区,哈尔滨市,哈尔滨经济圈环线,0.214
19,S211,230102,道里区,哈尔滨市,黑河—双城,3.299
20,S103,230102,道里区,哈尔滨市,哈尔滨—松原,4.852
21,G221,230102,道里区,哈尔滨市,同江—哈尔滨,2.724
22,G222,230102,道里区,哈尔滨市,嘉荫—临江,3.128
23,G222,230102,道里区,哈尔滨市,嘉荫—临江,24.788
24,G301,230102,道里区,哈尔滨市,绥芬河—满洲里（国道绥满）,3.128
25,G301,230102,道里区,哈尔滨市,绥芬河—满洲里（国道绥满）,10.535
26,G301,230102,道里区,哈尔滨市,绥芬河—满洲里（国道绥满）,1.103
27,S001,230102,道里区,哈尔滨市,哈尔滨经济圈环线,3.42
28,S001,230102,道里区,哈尔滨市,哈尔滨经济圈环线,0.611
29,S001,230102,道里区,哈尔滨市,哈尔滨经济圈环线,2.592
30,G102,230102,道里区,哈尔滨市,北京—抚远,24.788
31,G102,230102,道里区,哈尔滨市,北京—抚远,15.483
32,S211,230102,道里区,哈尔滨市,黑河—双城,2.165
33,G202,230102,道里区,哈尔滨市,黑河—大连,3.128
34,G202,230102,道里区,哈尔滨市,黑河—大连,24.788
35,G221,230102,道里区,哈尔滨市,同江—哈尔滨,3.623
36,G221,230102,道里区,哈尔滨市,同江—哈尔滨,2.897
37,S001,230103,南岗区,哈尔滨市,哈尔滨经济圈环线,0.662
38,S001,230103,南岗区,哈尔滨市,哈尔滨经济圈环线,0.252
39,S001,230103,南岗区,哈尔滨市,哈尔滨经济圈环线,1.538
40,S001,230103,南岗区,哈尔滨市,哈尔滨经济圈环线,1.167
41,G301,230103,南岗区,哈尔滨市,绥芬河—满洲里（国道绥满）,5.375
42,G102,230103,南岗区,哈尔滨市,北京—抚远,5.307
43,G102,230103,南岗区,哈尔滨市,北京—抚远,5.375
44,S001,230103,南岗区,哈尔滨市,哈尔滨经济圈环线,0.553
45,G102,230103,南岗区,哈尔滨市,北京—抚远,3.295
46,S001,230103,南岗区,哈尔滨市,哈尔滨经济圈环线,1.794
47,S001,230103,南岗区,哈尔滨市,哈尔滨经济圈环线,2.152
48,S001,230103,南岗区,哈尔滨市,哈尔滨经济圈环线,0.304
49,G1001,230103,南岗区,哈尔滨市,哈尔滨绕城高速,18.077
50,G1001,230103,南岗区,哈尔滨市,哈尔滨绕城高速,3.414
51,G1001,230103,南岗区,哈尔滨市,哈尔滨绕城高速,24.417
52,S001,230103,南岗区,哈尔滨市,哈尔滨经济圈环线,0.7
53,S001,230103,南岗区,哈尔滨市,哈尔滨经济圈环线,0.295
54,G10,230103,南岗区,哈尔滨市,绥芬河—满洲里（绥满高速）,14.682
55,G10,230103,南岗区,哈尔滨市,绥芬河—满洲里（绥满高速）,18.077
56,G1001,230103,南岗区,哈尔滨市,哈尔滨绕城高速,14.682
57,G1001,230103,南岗区,哈尔滨市,哈尔滨绕城高速,1.405
58,Z951230104,230104,道外区,哈尔滨市,东风—先锋路,1.006
59,S101,230104,道外区,哈尔滨市,哈尔滨—北安,14.841
60,S101,230104,道外区,哈尔滨市,哈尔滨—北安,7.521
61,S101,230104,道外区,哈尔滨市,哈尔滨—北安,1.05
62,G221,230104,道外区,哈尔滨市,同江—哈尔滨,0.679
63,G1011,230104,道外区,哈尔滨市,哈尔滨—同江（哈同高速）,13.322
64,S101,230104,道外区,哈尔滨市,哈尔滨—北安,12.162
65,S001,230108,平房区,哈尔滨市,哈尔滨经济圈环线,0.34
66,S001,230108,平房区,哈尔滨市,哈尔滨经济圈环线,0.197
67,S001,230108,平房区,哈尔滨市,哈尔滨经济圈环线,2.129
68,S001,230108,平房区,哈尔滨市,哈尔滨经济圈环线,0.933
69,S001,230108,平房区,哈尔滨市,哈尔滨经济圈环线,0.969
70,S001,230108,平房区,哈尔滨市,哈尔滨经济圈环线,1.718
71,S001,230108,平房区,哈尔滨市,哈尔滨经济圈环线,0.147
72,S001,230108,平房区,哈尔滨市,哈尔滨经济圈环线,1.749
73,G202,230109,松北区,哈尔滨市,黑河—大连,22.557
74,G1211,230109,松北区,哈尔滨市,吉林—黑河（吉黑高速）,19.477
75,G301,230109,松北区,哈尔滨市,绥芬河—满洲里（国道绥满）,0.39
76,G1211,230109,松北区,哈尔滨市,吉林—黑河（吉黑高速）,18.042
77,G1211,230109,松北区,哈尔滨市,吉林—黑河（吉黑高速）,20.124
78,S001,230109,松北区,哈尔滨市,哈尔滨经济圈环线,5.91
79,S001,230109,松北区,哈尔滨市,哈尔滨经济圈环线,0.901
