"序号","路线编号","路段简称","来源名称","来源编号","巡查日期","工程部位","病害类型","病害名称","发现时间","路线编号","方向","桩号","车道","位置","灾害长度","单位","自动识别可信度"
1866834917693493251,G309,齐河茌平界-山东河北界,日间巡查,LQD-LZ-XC3-20241209-001,2024-12-09,202,小修工程类,条状修补,2024-12-09,G309,上行,K553+700,2,"115.874975,36.469070",4.421,米,0.96
1866834917701881859,G309,齐河茌平界-山东河北界,日间巡查,LQD-LZ-XC3-20241209-001,2024-12-09,202,小修工程类,条状修补,2024-12-09,G309,上行,K553+947,2,"115.872386,36.469816",0.315,米,0.97
1866834917701881860,G309,齐河茌平界-山东河北界,日间巡查,LQD-LZ-XC3-20241209-001,2024-12-09,202,小修工程类,条状修补,2024-12-09,G309,上行,K553+967,1,"115.872167,36.469869",0.415,米,0.97
1866834917706076161,G309,齐河茌平界-山东河北界,日间巡查,LQD-LZ-XC3-20241209-001,2024-12-09,202,小修工程类,条状修补,2024-12-09,G309,上行,K554+288,2,"115.868822,36.470896",0.237,米,0.96
1866834917706076162,G309,齐河茌平界-山东河北界,日间巡查,LQD-LZ-XC3-20241209-001,2024-12-09,202,小修工程类,纵裂,2024-12-09,G309,上行,K554+368,2,"115.867997,36.471141",0.096,米,0.97
1866834917718659074,G309,齐河茌平界-山东河北界,日间巡查,LQD-LZ-XC3-20241209-001,2024-12-09,202,小修工程类,条状修补,2024-12-09,G309,上行,K555+059,3,"115.860882,36.473501",0.246,米,0.96
1866834917718659075,G309,齐河茌平界-山东河北界,日间巡查,LQD-LZ-XC3-20241209-001,2024-12-09,202,小修工程类,纵裂,2024-12-09,G309,上行,K555+230,2,"115.859131,36.474102",0.138,米,0.97
1866840431420674050,G309,齐河茌平界-山东河北界,日间巡查,LQD-LZ-XC3-20241209-001,2024-12-09,202,小修工程类,条状修补,2024-12-09,G309,上行,K555+492,2,"115.856510,36.475156",0.057,米,0.96
1866840431420674051,G309,齐河茌平界-山东河北界,日间巡查,LQD-LZ-XC3-20241209-001,2024-12-09,202,小修工程类,条状修补,2024-12-09,G309,上行,K555+493,2,"115.856502,36.475159",0.184,米,0.97
1866840431424868354,G309,齐河茌平界-山东河北界,日间巡查,LQD-LZ-XC3-20241209-001,2024-12-09,202,小修工程类,条状修补,2024-12-09,G309,上行,K555+585,2,"115.855591,36.475545",0.211,米,0.96
1866840431424868356,G309,齐河茌平界-山东河北界,日间巡查,LQD-LZ-XC3-20241209-001,2024-12-09,202,小修工程类,条状修补,2024-12-09,G309,上行,K556+809,2,"115.843511,36.480620",5.347,米,0.97
1866840431424868357,G309,齐河茌平界-山东河北界,日间巡查,LQD-LZ-XC3-20241209-001,2024-12-09,202,小修工程类,条状修补,2024-12-09,G309,上行,K556+984,2,"115.841799,36.481370",0.738,米,0.98
1866840431424868358,G309,齐河茌平界-山东河北界,日间巡查,LQD-LZ-XC3-20241209-001,2024-12-09,202,小修工程类,条状修补,2024-12-09,G309,上行,K557+142,2,"115.840252,36.482055",1.223,米,0.97
1866840431429062658,G309,齐河茌平界-山东河北界,日间巡查,LQD-LZ-XC3-20241209-001,2024-12-09,202,小修工程类,条状修补,2024-12-09,G309,上行,K558+130,2,"115.830149,36.485378",0.181,米,0.97
1866846593494978562,G309,齐河茌平界-山东河北界,日间巡查,LQD-LZ-XC3-20241209-001,2024-12-09,202,小修工程类,条状修补,2024-12-09,G309,上行,K558+856,1,"115.822087,36.485923",6.376,米,0.96
1866846593494978564,G309,齐河茌平界-山东河北界,日间巡查,LQD-LZ-XC3-20241209-001,2024-12-09,202,小修工程类,纵裂,2024-12-09,G309,上行,K559+055,2,"115.819882,36.486123",0.352,米,0.97
1866846593494978565,G309,齐河茌平界-山东河北界,日间巡查,LQD-LZ-XC3-20241209-001,2024-12-09,202,小修工程类,纵裂,2024-12-09,G309,上行,K559+056,2,"115.819868,36.486124",0.32,米,0.98
1866846593494978566,G309,齐河茌平界-山东河北界,日间巡查,LQD-LZ-XC3-20241209-001,2024-12-09,202,小修工程类,纵裂,2024-12-09,G309,上行,K559+063,2,"115.819793,36.486131",0.307,米,0.97
1866846593499172865,G309,齐河茌平界-山东河北界,日间巡查,LQD-LZ-XC3-20241209-001,2024-12-09,202,小修工程类,条状修补,2024-12-09,G309,上行,K559+064,2,"115.819776,36.486131",0.303,米,0.98
1866846593499172866,G309,齐河茌平界-山东河北界,日间巡查,LQD-LZ-XC3-20241209-001,2024-12-09,202,小修工程类,纵裂,2024-12-09,G309,上行,K559+066,2,"115.819762,36.486131",0.286,米,0.98
1866846593499172868,G309,齐河茌平界-山东河北界,日间巡查,LQD-LZ-XC3-20241209-001,2024-12-09,202,小修工程类,纵裂,2024-12-09,G309,上行,K559+082,2,"115.819580,36.486131",0.313,米,0.97
1866846593499172869,G309,齐河茌平界-山东河北界,日间巡查,LQD-LZ-XC3-20241209-001,2024-12-09,202,小修工程类,条状修补,2024-12-09,G309,上行,K559+923,2,"115.810231,36.486785",0.361,米,0.98
1866846593499172870,G309,齐河茌平界-山东河北界,日间巡查,LQD-LZ-XC3-20241209-001,2024-12-09,202,小修工程类,条状修补,2024-12-09,G309,上行,K561+014,2,"115.798145,36.487936",0.433,米,0.97
1866846593499172871,G309,齐河茌平界-山东河北界,日间巡查,LQD-LZ-XC3-20241209-001,2024-12-09,202,小修工程类,条状修补,2024-12-09,G309,上行,K561+193,2,"115.796157,36.488095",0.02,米,0.97
1866846593503367169,G309,齐河茌平界-山东河北界,日间巡查,LQD-LZ-XC3-20241209-001,2024-12-09,202,小修工程类,条状修补,2024-12-09,G309,上行,K561+489,2,"115.793045,36.488830",3.998,米,0.96
1866853243232620545,G309,齐河茌平界-山东河北界,日间巡查,LQD-LZ-XC3-20241209-001,2024-12-09,202,小修工程类,纵裂,2024-12-09,G309,上行,K561+774,2,"115.790288,36.490112",0.083,米,0.97
1866853243236814850,G309,齐河茌平界-山东河北界,日间巡查,LQD-LZ-XC3-20241209-001,2024-12-09,202,小修工程类,纵裂,2024-12-09,G309,上行,K561+778,2,"115.790250,36.490131",0.253,米,0.97
1866853243236814851,G309,齐河茌平界-山东河北界,日间巡查,LQD-LZ-XC3-20241209-001,2024-12-09,202,小修工程类,纵裂,2024-12-09,G309,上行,K561+780,2,"115.790231,36.490141",0.246,米,0.97
1866853243236814852,G309,齐河茌平界-山东河北界,日间巡查,LQD-LZ-XC3-20241209-001,2024-12-09,202,小修工程类,条状修补,2024-12-09,G309,上行,K561+871,2,"115.789351,36.490550",0.322,米,0.98
1866853243236814853,G309,齐河茌平界-山东河北界,日间巡查,LQD-LZ-XC3-20241209-001,2024-12-09,202,小修工程类,条状修补,2024-12-09,G309,上行,K561+873,2,"115.789336,36.490557",0.378,米,0.97
1866853243241009154,G309,齐河茌平界-山东河北界,日间巡查,LQD-LZ-XC3-20241209-001,2024-12-09,202,小修工程类,条状修补,2024-12-09,G309,上行,K562+218,2,"115.786028,36.492158",1.61,米,0.96
1866853243241009156,G309,齐河茌平界-山东河北界,日间巡查,LQD-LZ-XC3-20241209-001,2024-12-09,202,小修工程类,条状修补,2024-12-09,G309,上行,K562+404,3,"115.784249,36.493019",4.681,米,0.97
